Základný číselník,Kód číselnika,Názov číselníka,Ang. názov číselníka,URI číselníka,Hlavný gestor,Vedľajší gestor,Zdrojový číselnik,Dátum platnosti,Začiatok účinnosti,Koniec účinnosti,Poznámka,Kód položky,Názov položky,Ang. názov položky,Skrátený názov položky,Ang. skrátený nazov položky,Skratka názvu položky,Ang. skratka názvu položky,URI polozky,Doplňujúci obsah,Merná jednotka,Poznámka pre položku,Zahŕňa,Tiež zahŕňa,Vylučuje,Začiatok účinnosti položky,Koniec účinnosti položky,Logické poradie položky,Legislatívna uznateľnosť
ano,CL000024,Lokálna štatistická územná jednotka 1 – okres,Local statistical territorial unit 1 - district,https://data.gov.sk/set/codelist/CL000024,Štatistický úrad Slovenskej republiky,,Číselník Štatistického úradu Slovenskej republiky č. 0024.,2025-09-29,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy.
V atribúte pre doplňujúci obsah položky je kód okresu podľa číselníka Štatistického úradu SR č. 0048. 
",SK0108,Okres Senec,District of Senec,Senec,Senec,,,https://data.gov.sk/def/lau1/SK0108,108,,,,,,2004-08-01,,90,ano
ano,CL000024,Lokálna štatistická územná jednotka 1 – okres,Local statistical territorial unit 1 - district,https://data.gov.sk/set/codelist/CL000024,Štatistický úrad Slovenskej republiky,,Číselník Štatistického úradu Slovenskej republiky č. 0024.,2025-09-29,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy.
V atribúte pre doplňujúci obsah položky je kód okresu podľa číselníka Štatistického úradu SR č. 0048. 
",SK0211,Okres Dunajská Streda,District of Dunajská Streda,Dunajská Streda,Dunajská Streda,,,https://data.gov.sk/def/lau1/SK0211,201,,,,,,2004-08-01,,91,ano
ano,CL000024,Lokálna štatistická územná jednotka 1 – okres,Local statistical territorial unit 1 - district,https://data.gov.sk/set/codelist/CL000024,Štatistický úrad Slovenskej republiky,,Číselník Štatistického úradu Slovenskej republiky č. 0024.,2025-09-29,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy.
V atribúte pre doplňujúci obsah položky je kód okresu podľa číselníka Štatistického úradu SR č. 0048. 
",SK0212,Okres Galanta,District of Galanta,Galanta,Galanta,,,https://data.gov.sk/def/lau1/SK0212,202,,,,,,2004-08-01,,92,ano
ano,CL000024,Lokálna štatistická územná jednotka 1 – okres,Local statistical territorial unit 1 - district,https://data.gov.sk/set/codelist/CL000024,Štatistický úrad Slovenskej republiky,,Číselník Štatistického úradu Slovenskej republiky č. 0024.,2025-09-29,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy.
V atribúte pre doplňujúci obsah položky je kód okresu podľa číselníka Štatistického úradu SR č. 0048. 
",SK0213,Okres Hlohovec,District of Hlohovec,Hlohovec,Hlohovec,,,https://data.gov.sk/def/lau1/SK0213,203,,,,,,2004-08-01,,93,ano
ano,CL000024,Lokálna štatistická územná jednotka 1 – okres,Local statistical territorial unit 1 - district,https://data.gov.sk/set/codelist/CL000024,Štatistický úrad Slovenskej republiky,,Číselník Štatistického úradu Slovenskej republiky č. 0024.,2025-09-29,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy.
V atribúte pre doplňujúci obsah položky je kód okresu podľa číselníka Štatistického úradu SR č. 0048. 
",SK0214,Okres Piešťany,District of Piešťany,Piešťany,Piešťany,,,https://data.gov.sk/def/lau1/SK0214,204,,,,,,2004-08-01,,94,ano
ano,CL000024,Lokálna štatistická územná jednotka 1 – okres,Local statistical territorial unit 1 - district,https://data.gov.sk/set/codelist/CL000024,Štatistický úrad Slovenskej republiky,,Číselník Štatistického úradu Slovenskej republiky č. 0024.,2025-09-29,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy.
V atribúte pre doplňujúci obsah položky je kód okresu podľa číselníka Štatistického úradu SR č. 0048. 
",SK0215,Okres Senica,District of Senica,Senica,Senica,,,https://data.gov.sk/def/lau1/SK0215,205,,,,,,2004-08-01,,95,ano
ano,CL000024,Lokálna štatistická územná jednotka 1 – okres,Local statistical territorial unit 1 - district,https://data.gov.sk/set/codelist/CL000024,Štatistický úrad Slovenskej republiky,,Číselník Štatistického úradu Slovenskej republiky č. 0024.,2025-09-29,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy.
V atribúte pre doplňujúci obsah položky je kód okresu podľa číselníka Štatistického úradu SR č. 0048. 
",SK0216,Okres Skalica,District of Skalica,Skalica,Skalica,,,https://data.gov.sk/def/lau1/SK0216,206,,,,,,2004-08-01,,96,ano
ano,CL000024,Lokálna štatistická územná jednotka 1 – okres,Local statistical territorial unit 1 - district,https://data.gov.sk/set/codelist/CL000024,Štatistický úrad Slovenskej republiky,,Číselník Štatistického úradu Slovenskej republiky č. 0024.,2025-09-29,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy.
V atribúte pre doplňujúci obsah položky je kód okresu podľa číselníka Štatistického úradu SR č. 0048. 
",SK0217,Okres Trnava,District of Trnava,Trnava,Trnava,,,https://data.gov.sk/def/lau1/SK0217,207,,,,,,2004-08-01,,97,ano
ano,CL000024,Lokálna štatistická územná jednotka 1 – okres,Local statistical territorial unit 1 - district,https://data.gov.sk/set/codelist/CL000024,Štatistický úrad Slovenskej republiky,,Číselník Štatistického úradu Slovenskej republiky č. 0024.,2025-09-29,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy.
V atribúte pre doplňujúci obsah položky je kód okresu podľa číselníka Štatistického úradu SR č. 0048. 
",SK0221,Okres Bánovce nad Bebravou,District of Bánovce nad Bebravou,Bánovce nad Bebravou,Bánovce nad Bebravou,,,https://data.gov.sk/def/lau1/SK0221,301,,,,,,2004-08-01,,98,ano
ano,CL000024,Lokálna štatistická územná jednotka 1 – okres,Local statistical territorial unit 1 - district,https://data.gov.sk/set/codelist/CL000024,Štatistický úrad Slovenskej republiky,,Číselník Štatistického úradu Slovenskej republiky č. 0024.,2025-09-29,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy.
V atribúte pre doplňujúci obsah položky je kód okresu podľa číselníka Štatistického úradu SR č. 0048. 
",SK0222,Okres Ilava,District of Ilava,Ilava,Ilava,,,https://data.gov.sk/def/lau1/SK0222,302,,,,,,2004-08-01,,99,ano
