IDZBO;NAZEVZBO;MNOZSTVI;IDODBER;NAZEV;ULICE;PSC;MESTO;DATUM
85971240;LuckyS ComFloFBla5,40K;1;4146;025 - TANKER Trnava 2, Nov· ul.;Obchodn· zÛna TMT (obchvat mesta);91701;Trnava;1.1.2026
85962637;LuckyS CompFlwFil5,40K;1;4150;028 - TANKER éilina 3, Kamenn·;Kamenn· 3;01001;éilina;1.1.2026
85962637;LuckyS CompFlwFil5,40K;1;4162;045 - TANKER Liptovsk˝ Mikul·ö 2, RevoluËn·;RevoluËn· 1183/11B;03101;Liptovsk˝ Mikul·ö;1.1.2026
85962637;LuckyS CompFlwFil5,40K;1;4146;025 - TANKER Trnava 2, Nov· ul.;Obchodn· zÛna TMT (obchvat mesta);91701;Trnava;1.1.2026
85971240;LuckyS ComFloFBla5,40K;1;4153;031 - TANKER Senica 3, »·Ëovsk·;»·Ëovsk· 3100/2A;90501;Senica;1.1.2026
4030700189022;DAV BxComReaAmet5,40K;1;4162;045 - TANKER Liptovsk˝ Mikul·ö 2, RevoluËn·;RevoluËn· 1183/11B;03101;Liptovsk˝ Mikul·ö;1.1.2026
4030600345207;DAV EvoAmethSslBx5,50K;1;4153;031 - TANKER Senica 3, »·Ëovsk·;»·Ëovsk· 3100/2A;90501;Senica;1.1.2026
4030600346280;DAV BxEvoBlu5,50K;1;4145;023 - TANKER Hlohovec 2, äulekovo;äulekovo 1206;92003;Hlohovec;1.1.2026
4030600345207;DAV EvoAmethSslBx5,50K;1;4145;023 - TANKER Hlohovec 2, äulekovo;äulekovo 1206;92003;Hlohovec;1.1.2026
4030600345115;DAV SslBoxEvoBlu5,50K;1;4162;045 - TANKER Liptovsk˝ Mikul·ö 2, RevoluËn·;RevoluËn· 1183/11B;03101;Liptovsk˝ Mikul·ö;1.1.2026
4030600346259;DAV BxEvoRed5,50K;1;4162;045 - TANKER Liptovsk˝ Mikul·ö 2, RevoluËn·;RevoluËn· 1183/11B;03101;Liptovsk˝ Mikul·ö;1.1.2026
4030600344934;Jade SslRoseBx5,40K;1;4162;045 - TANKER Liptovsk˝ Mikul·ö 2, RevoluËn·;RevoluËn· 1183/11B;03101;Liptovsk˝ Mikul·ö;1.1.2026
4030600334300;DAV 100BxEvoRed5,50K;2;4150;028 - TANKER éilina 3, Kamenn·;Kamenn· 3;01001;éilina;1.1.2026
