IDZBO;NAZEVZBO;IDODBER;NAZEV;ULICE;PSC;MESTO;DATUM;MNOZSTVI
3100184;                                   Camel blue soft;110;                                 CS Povazska Tepla;                             Považská Teplá 585;01705;                               Považská Bystrica;14.09.2025;     1.000
9203684;                            Lucky Strike Com.Black;126;                                       CS Kezmarok;                               Slávkovská 2283/9;060 01;                                         Kežmarok;18.09.2025;     1.000
9202225;                                  Mars soft dlhe K;112;                             CS Turcianske Teplice;                                   Robotnícka 823;03901;                               Turčianske Teplice;18.09.2025;     1.000
3100184;                                   Camel blue soft;110;                                 CS Povazska Tepla;                             Považská Teplá 585;01705;                               Považská Bystrica;18.09.2025;     1.000
9206063;                               IQOS TEREA Bronze G;102;                                            CS Ton;                              Bratislavská 306/22;94615;                                               Ton;18.09.2025;     1.000
9202387;                                Marlboro gold SOFT;136;                                          CS Batka;                               Košická cesta 279;980 21;                                            Bátka;18.09.2025;     1.000
9206065;                                IQOS TEREA Amber G;120;                                       CS Rohoznik;                                       Senická 10;906 38;                                        Rohožník;18.09.2025;    10.000
9202238;                                         LM blue K;119;                                 CS Zemianska Olca;                             Komárňanská 890/35;946 14;                                   Zemianska Olča;18.09.2025;     1.000
9209204;                              Blu Bar Banana Ice A;140;                                  CS Velka Lomnica;                                    Popradská 722;059 52;                                   Veľká Lomnica;18.09.2025;     1.000
9209222;                    SIBERIA 80 WHITE DrySlim 13g A;121;                                        CS Dobsina;                                  Niže mesta 1547;049 25;                                         Dobšiná;18.09.2025;     1.000
9202322;                                          LM red K;120;                                       CS Rohoznik;                                       Senická 10;906 38;                                        Rohožník;18.09.2025;     1.000
9208415;                              Petra by RGD cervena;120;                                       CS Rohoznik;                                       Senická 10;906 38;                                        Rohožník;18.09.2025;     2.000
9204845;                     Davidoff SKS evolv. RED 100 K;117;                                      CS Podhajska;                                Družstevná 755/1;941 48;                                        Podhájska;18.09.2025;     1.000
9209254;                              Pablo Ice Cold 16g A;103;                                   CS Dolny Hricov;                                     Staničná 10;01341;                                      Dolny Hricov;18.09.2025;     1.000
9204655;                       Davidoff SSL evolved BLUE K;133;                                      CS Ivachnova;                                    Ivachnová 304;034 83;                                        Ivachnová;18.09.2025;     1.000
9202238;                                         LM blue K;102;                                            CS Ton;                              Bratislavská 306/22;94615;                                               Ton;18.09.2025;     2.000
9205635;                                       Fiit MARINE;104;                                           CS Tupa;                                         Tupá 258;93584;                                              Tupa;18.09.2025;     3.000
9205125;                     Winston XSpression Long Slims;137;                                       CS Ludanice;                                 Topolčianska 526;965 11;                                          Ludanice;18.09.2025;     1.000
9202972;                                Marlboro line blue;103;                                   CS Dolny Hricov;                                     Staničná 10;01341;                                      Dolny Hricov;18.09.2025;     1.000
9209065;                        VEEV ONE STRAWBERRY 1.8% A;120;                                       CS Rohoznik;                                       Senická 10;906 38;                                        Rohožník;18.09.2025;     1.000
9209142;                             VEEV ONE MANGO 1.8% A;120;                                       CS Rohoznik;                                       Senická 10;906 38;                                        Rohožník;18.09.2025;     1.000
9203814;                                    Marlboro touch;122;                                CS Banska Bystrica;                              Starohorská 4320/76;974 11;                                  Banská Bystrica;18.09.2025;     1.000
9209216;                      Killa Cold Mint Ex.Str.16g A;129;                                         CS Martin;                                     Kollárova 89;036 01;                                            Martin;18.09.2025;     1.000
9202238;                                         LM blue K;140;                                  CS Velka Lomnica;                                    Popradská 722;059 52;                                   Veľká Lomnica;18.09.2025;     1.000
9202238;                                         LM blue K;140;                                  CS Velka Lomnica;                                    Popradská 722;059 52;                                   Veľká Lomnica;18.09.2025;     1.000
9205125;                     Winston XSpression Long Slims;124;                                     CS Michalovce;                           Vinianská cesta 3903/2;071 01;                                        Michalovce;19.09.2025;     1.000
9208433;                                Camel green ploom ;124;                                     CS Michalovce;                           Vinianská cesta 3903/2;071 01;                                        Michalovce;19.09.2025;     1.000
9202225;                                  Mars soft dlhe K;123;                              CS Liptovsky Mikulas;                                Ulica 1.mája 2022;031 01;                              Liptovský Mikuláš;19.09.2025;     1.000
9201730;                                  Winston blue 100;112;                             CS Turcianske Teplice;                                   Robotnícka 823;03901;                               Turčianske Teplice;19.09.2025;     1.000
9203690;                            LM Loft Blue Compact K;121;                                        CS Dobsina;                                  Niže mesta 1547;049 25;                                         Dobšiná;19.09.2025;     1.000
9206067;                            IQOS TEREA Turquoise G;125;                                         CS Kosice;                           Sečovská cesta 1114/9;040 22;                  Košice – Dargovských Hrdinov;19.09.2025;     2.000
9203082;                            Winston Slims blue NEW;107;                                         CS Turany;                                  Jánošíková 1;03853;                                            Turany;19.09.2025;     1.000
9209073;                      VELO Crispy Pepperm.3 Dots A;108;                              CS Dubnica nad Vahom;                                  Centrum I - 1725;01841;                                Dubnica nad Váhom;19.09.2025;     1.000
9202996;                              Winston classic red ;119;                                 CS Zemianska Olca;                             Komárňanská 890/35;946 14;                                   Zemianska Olča;19.09.2025;     1.000
